DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1992 / 10,Brooklyn,81648.6,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 10,Manhattan,41350.8,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 10,Queens,65716.2,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 10,Staten Island,14713.599999999999,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 11,Bronx,38368.0,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 11,Brooklyn,80935.8,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 11,Manhattan,40619.6,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 11,Queens,69218.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 11,Staten Island,13412.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 12,Bronx,37287.9,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 12,Brooklyn,83021.0,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 12,Manhattan,42777.4,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 12,Queens,64936.1,0.0,0.0,0.0,0.0,0.0,0.0
1992 / 12,Staten Island,14901.3,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 01,Bronx,33852.2,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 01,Brooklyn,75730.5,6.3,0.0,0.0,0.0,0.0,0.0
1993 / 01,Manhattan,40158.6,9.9,0.0,0.0,0.0,0.0,0.0
1993 / 01,Queens,57969.6,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 01,Staten Island,13128.3,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 02,Bronx,29476.600000000002,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 02,Brooklyn,67172.1,0.0,0.0,0.0,0.0,0.0,0.0
1993 / 02,Manhattan,35906.2,0.0,0.0,0.0,0.0,0.0,0.0
